Membership No  Date Joined  Active  
    51129      2015-7-24    no    
    59275      2017-12-22   yes   
    16415      2016-7-17    no    
    90118      2020-8-13    yes   
    76450      2019-4-2     yes   
    84529      2015-10-23   yes   
    36210      2020-2-21    no    
    39210      2018-6-7     yes   
    66531      2016-10-13   no    
    49369      2018-10-1    no    
    37493      2015-10-1    yes   
    14081      2020-5-14    yes   
    79190      2015-3-21    yes   
    31228      2019-5-14    no    
    19490      2015-8-17    no    
    53853      2016-10-23   yes   
    48037      2020-11-24   yes   
    52309      2015-11-15   yes   
    98521      2015-4-19    yes   
    88180      2019-12-17   yes   
