Membership No  Date Joined  Active  
    90702      2016-5-10    no    
    60969      2018-6-3     no    
    98074      2019-4-10    yes   
    15477      2020-7-8     yes   
    63698      2017-3-4     no    
    37429      2020-9-18    yes   
    92822      2017-12-6    yes   
    26785      2017-8-3     no    
    72858      2018-5-6     yes   
    25471      2015-12-3    no    
    59595      2017-7-22    yes   
    76363      2020-3-16    no    
    37064      2015-8-11    no    
    50207      2020-11-19   no    
    65292      2017-2-3     no    
    67195      2020-5-16    yes   
    10790      2017-8-17    no    
    85551      2020-1-14    yes   
    49555      2018-6-9     yes   
    53770      2019-10-13   no    
